"","group.label"
"884","HG01519.SG"
"885","HG01521.SG"
"886","HG01522.SG"
"887","HG01524.SG"
"888","HG01525.SG"
"889","HG01527.SG"
"890","HG01528.SG"
"891","HG01530.SG"
"892","HG01531.SG"
"893","HG01536.SG"
"894","HG01537.SG"
"895","HG01550.SG"
"896","HG01551.SG"
"897","HG01556.SG"
"898","HG01565.SG"
"899","HG01566.SG"
"900","HG01571.SG"
"901","HG01572.SG"
"902","HG01577.SG"
"903","HG01578.SG"
"904","HG01583.SG"
"905","HG01586.SG"
"906","HG01589.SG"
"907","HG01593.SG"
"908","HG01595.SG"
"909","HG01596.SG"
"910","HG01597.SG"
"911","HG01598.SG"
"912","HG01599.SG"
"913","HG01600.SG"
"914","HG01602.SG"
"915","HG01603.SG"
"916","HG01605.SG"
"917","HG01606.SG"
"918","HG01607.SG"
"919","HG01608.SG"
"920","HG01610.SG"
"921","HG01612.SG"
"922","HG01613.SG"
"923","HG01615.SG"
"924","HG01617.SG"
"925","HG01618.SG"
"926","HG01619.SG"
"927","HG01620.SG"
"928","HG01623.SG"
"929","HG01624.SG"
"930","HG01625.SG"
"931","HG01626.SG"
"932","HG01628.SG"
"933","HG01630.SG"
"934","HG01631.SG"
"935","HG01632.SG"
"936","HG01668.SG"
"937","HG01669.SG"
"938","HG01670.SG"
"939","HG01672.SG"
"940","HG01673.SG"
"941","HG01675.SG"
"942","HG01676.SG"
"943","HG01678.SG"
"944","HG01679.SG"
"945","HG01680.SG"
"946","HG01682.SG"
"947","HG01684.SG"
"948","HG01685.SG"
"949","HG01686.SG"
"950","HG01694.SG"
"951","HG01695.SG"
"952","HG01697.SG"
"953","HG01699.SG"
"954","HG01700.SG"
"955","HG01702.SG"
"956","HG01704.SG"
"957","HG01705.SG"
"958","HG01707.SG"
"959","HG01708.SG"
"960","HG01709.SG"
"961","HG01710.SG"
"962","HG01746.SG"
"963","HG01747.SG"
"964","HG01756.SG"
"965","HG01757.SG"
"966","HG01761.SG"
"967","HG01762.SG"
"968","HG01765.SG"
"969","HG01766.SG"
"970","HG01767.SG"
"971","HG01768.SG"
"972","HG01770.SG"
"973","HG01771.SG"
"974","HG01773.SG"
"975","HG01775.SG"
"976","HG01776.SG"
"977","HG01777.SG"
"978","HG01779.SG"
"979","HG01781.SG"
"980","HG01783.SG"
"981","HG01784.SG"
"982","HG01785.SG"
"983","HG01786.SG"
"984","HG01789.SG"
"985","HG01790.SG"
"986","HG01791.SG"
"987","HG01794.SG"
"988","HG01795.SG"
"989","HG01796.SG"
"990","HG01797.SG"
"991","HG01798.SG"
"992","HG01799.SG"
"993","HG01800.SG"
"994","HG01801.SG"
"995","HG01802.SG"
"996","HGDP01319.SDG"
"997","HG01805.SG"
"998","HG01806.SG"
"999","HG01807.SG"
"1000","HG01808.SG"
"1001","HG01809.SG"
"1002","HG01810.SG"
"1003","HG01811.SG"
"1004","HG01812.SG"
"1005","HG01813.SG"
"1006","HG01815.SG"
"1007","HG01816.SG"
"1008","HG01817.SG"
"1009","HG01840.SG"
"1010","HG01841.SG"
"1011","HG01842.SG"
"1012","HG01843.SG"
"1013","HG01844.SG"
"1014","HG01845.SG"
"1015","HG01846.SG"
"1016","HG01847.SG"
"1017","HG01848.SG"
"1018","HG01849.SG"
"1019","HG01850.SG"
"1020","HG01851.SG"
"1021","HG01852.SG"
"1022","HG01853.SG"
"1023","HG01855.SG"
"1024","HG01857.SG"
"1025","HG01858.SG"
"1026","HG01859.SG"
"1027","HG01860.SG"
"1028","HG01861.SG"
"1029","HG01862.SG"
"1030","HG01863.SG"
"1031","HG01864.SG"
"1032","HG01865.SG"
